channel_name,channel_id
Pod Save America,UCKRoXz3hHAu2XL_k3Ef4vJQ
The Ben Shapiro Show,UCnQC_G5Xsjhp9fEJKuIcrSw
The Joe Rogan Experience,UCzQUP1qoWDoEbmsQxvdjxgQ
The Dan Bongino Show,UCadQL5p3ePXbe9Mt1ZwaOwg
The Daily Wire,UCaeO5vkdj5xOQHp4UmIN6dw
The Rubin Report,UCJdKr0Bgd_5saZYqLCa9mng
The Young Turks,UC1yBKRuGpC1tSM73A0ZjYjQ
The Charlie Kirk Show,UCfaIu2jO-fppCQV_lchCRIQ
The Majority Report with Sam Seder,UC-3jIAlnQmbbVMV6gR7K8aQ
The Sean Hannity Show,UCOaY5UtvLRkAe9w2_wwGQGA
The Megyn Kelly Show,UCzJXNzqz6VMHSNInQt_7q6w
The Ezra Klein Show,UCkdnY2hNC0sdlVXPtWuNQ8g
The New Abnormal,UC0Rw2HFVfvTx9eDj4OjF1kg
The Matt Walsh Show,UCO01ytfzgXYy4glnPJm4PPQ
The David Pakman Show,UCvixJtaXuNdMPUGdOPcY8Ag
The Thom Hartmann Program,UCbjBOso0vpWgDht9dPIVwhQ
The Jimmy Dore Show,UC3M7l8ved_rYQ45AVzS0RGA
The Candace Owens Show,UCL0u5uz7KZ9q-pe-VC8TY-w
The Rising (The Hill),UCPWXiRWZ29zrxPFIQT7eHSA
Breaking Points with Krystal and Saagar,UCDRIjKy6eZOvKtOELtTdeUA
"Left, Right & Center",UCNb8ZS62nNwGebwRhDvZyWw
The Realignment,UC3O3P7AsOC17INXR5L2APHQ
Chapo Trap House,UCokqzNPBJ65raczldVuHAww
Reason Roundtable,UCJ_idvaUVLeOT7kQllfctjQ
The Political Gabfest,UCjGHvWBNzbLKkGwr9mocxPQ
The Weeds (Vox),UCLXo7UDZvByw2ixzpQCufnA
Intercepted,UCnSpzz33bUP7r-Q2Lr52fHA
The Realignment,UC3O3P7AsOC17INXR5L2APHQ
The Political Orphanage,UCUuTy3hH35Acidy8Zzy35PQ
H3H3 Podcast,UCLtREJY21xRfCuEKvdki1Kw
Matt Shane Secret Podcast,UC4fZeoNxAXfbIpT3swsVh9w
Flagrant Podcast,UC5PstSsGrRwj2o6asQpC4Rg
Full Send Podcast,UChPuCAEXg7iYkVNjQY1NGYg
Impaulsive,UCGeBogGDZ9W3dsGx-mWQGJA
Hasanabi,UCtoaZpBnrd0lhycxYJ4MNOQ
This Past Weekend Theo Von,UC5AQEUAwCh1sGDvkQtkDWUQ
Lex Fridman,UCSHZKyawb77ixDdsGog4iWA
Andrew Huberman,UC2D2CMWXMOVWx7giW1n3LIg
Jordan B. Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q
